EMA_short,EMA_long,Total_Trades,Profit_Trades,Loss_Trades,Net_Profit
92,95,30,9,21,46289.5517
93,94,30,9,21,46289.5517
82,99,30,9,21,46189.6485
74,95,32,12,20,46115.0387
62,99,34,11,23,44180.1753
62,100,34,12,22,43020.1159
66,95,36,12,24,42960.1543
81,99,30,10,20,42699.9019
73,86,34,12,22,42240.4283
69,89,34,11,23,42060.5461
70,88,34,11,23,42060.5461
68,97,32,11,21,41639.6985
64,99,34,12,22,40100.0485
90,96,30,9,21,37979.6883
87,100,30,9,21,37759.6689
88,99,30,9,21,37759.6689
89,98,30,9,21,37759.6689
90,97,30,9,21,37759.6689
63,100,34,12,22,37220.0681
77,99,32,9,23,36394.7263
74,100,32,10,22,33764.5041
73,96,32,12,20,33015.0387
75,95,32,12,20,32114.5511
83,94,30,9,21,31499.9021
72,86,34,11,23,28200.4877
73,85,34,11,23,28200.4877
74,84,34,11,23,28200.4877
79,90,32,12,20,28164.8437
71,87,34,11,23,27370.5071
75,94,32,12,20,25474.9997
76,93,32,12,20,25474.9997
77,92,32,12,20,25474.9997
78,91,32,12,20,25474.9997
80,100,30,10,20,25319.9213
71,99,32,11,21,25175.1949
88,92,30,9,21,24779.8825
89,91,30,9,21,24779.8825
74,96,32,12,20,24094.7269
81,95,30,9,21,23689.8435
88,100,30,9,21,22129.7849
89,99,30,9,21,22129.7849
90,98,30,9,21,22129.7849
76,94,32,12,20,21624.6107
77,93,32,12,20,21624.6107
78,92,32,12,20,21624.6107
79,91,32,12,20,21624.6107
73,97,32,12,20,19845.1169
79,98,30,9,21,16189.9411
80,97,30,9,21,16189.9411
81,96,30,9,21,16189.9411
82,95,30,9,21,16189.9411
78,93,32,11,21,13704.4939
79,92,32,11,21,13704.4939
80,91,32,11,21,13704.4939
76,92,32,12,20,11295.2141
74,89,32,12,20,10289.8949
77,91,32,12,20,8845.2141
78,90,32,12,20,8845.2141
80,96,30,9,21,8379.8825
85,95,30,9,21,7179.8825
86,94,30,9,21,7179.8825
87,93,30,9,21,7179.8825
72,98,32,11,21,6985.1559
91,95,30,9,21,6559.6689
92,94,30,9,21,6559.6689
78,98,32,9,23,4574.7069
93,95,30,9,21,4519.8249
75,88,32,11,21,4289.8949
76,87,32,11,21,4289.8949
75,100,32,10,22,2184.4261
64,98,34,12,22,1849.9991
78,95,32,10,22,1204.6405
79,94,32,10,22,1204.6405
80,90,32,11,21,564.6487
81,89,32,11,21,564.6487
82,88,32,11,21,564.6487
77,96,32,10,22,-275.4375
81,100,32,9,23,-810.3515
76,98,32,10,22,-895.2619
71,100,32,11,21,-1435.3511
79,100,30,10,20,-2469.7275
80,99,30,10,20,-2469.7275
81,98,30,10,20,-2469.7275
82,97,30,10,20,-2469.7275
83,96,30,10,20,-2469.7275
84,95,30,10,20,-2469.7275
85,94,30,10,20,-2469.7275
86,93,30,10,20,-2469.7275
87,92,30,10,20,-2469.7275
88,91,30,10,20,-2469.7275
89,90,30,10,20,-2469.7275
72,99,32,11,21,-3885.3511
80,88,32,12,20,-4494.8259
74,97,32,12,20,-4505.2721
75,96,32,12,20,-4505.2721
88,90,30,10,20,-5819.9217
80,89,32,12,20,-6525.1963
83,87,32,10,22,-8005.3707
84,86,32,10,22,-8005.3707
92,96,30,9,21,-8430.1751
76,97,32,10,22,-8635.4473
81,90,32,10,22,-11085.5461
82,89,32,10,22,-11085.5461
76,99,32,10,22,-11785.4959
76,95,32,11,21,-13075.2915
75,99,32,10,22,-14695.2619
82,98,30,9,21,-15430.1761
83,97,30,9,21,-15580.2735
77,94,32,11,21,-16635.3501
82,94,30,9,21,-16900.0005
83,93,30,9,21,-16900.0005
84,92,30,9,21,-16900.0005
85,91,30,9,21,-16900.0005
86,90,30,9,21,-16900.0005
87,89,30,9,21,-16900.0005
91,97,30,9,21,-17390.1371
79,89,32,12,20,-17594.8259
77,97,32,10,22,-18515.3789
78,96,32,10,22,-18515.3789
79,95,32,10,22,-18515.3789
80,94,32,10,22,-18515.3789
82,87,32,11,21,-19445.2149
83,86,32,11,21,-19445.2149
84,85,32,11,21,-19445.2149
80,93,32,10,22,-20045.4569
83,95,30,10,20,-21129.8827
84,94,30,10,20,-21129.8827
85,93,30,10,20,-21129.8827
86,92,30,10,20,-21129.8827
87,91,30,10,20,-21129.8827
76,100,32,9,23,-21355.8587
82,93,32,9,23,-21810.3515
83,92,32,9,23,-21810.3515
84,91,32,9,23,-21810.3515
81,87,32,12,20,-22684.8649
82,86,32,12,20,-22684.8649
83,85,32,12,20,-22684.8649
73,98,32,11,21,-23545.3111
73,100,32,10,22,-25165.4279
74,99,32,10,22,-25165.4279
75,98,32,10,22,-25165.4279
81,88,32,11,21,-26185.1563
84,96,30,9,21,-32430.2735
81,92,32,10,22,-39025.5349
82,91,32,10,22,-39025.5349
83,90,32,10,22,-39025.5349
77,98,32,9,23,-41515.5759
80,92,32,10,22,-43225.2913
81,91,32,10,22,-43225.2913
77,95,32,10,22,-44445.3109
78,94,32,10,22,-44445.3109
79,93,32,10,22,-44445.3109
83,88,32,9,23,-48295.5069
84,87,32,9,23,-48295.5069
82,92,32,9,23,-52825.5369
83,91,32,9,23,-52825.5369
84,90,32,9,23,-52825.5369
85,89,32,9,23,-52825.5369
86,88,32,9,23,-52825.5369
81,93,32,9,23,-53985.4969
75,97,32,11,21,-55405.6621
85,90,34,9,25,-55700.5855
86,89,34,9,25,-55700.5855
87,88,34,9,25,-55700.5855
84,89,32,9,23,-63815.5749
85,88,32,9,23,-63815.5749
86,87,32,9,23,-63815.5749
